Datum,T7,T14,T21,Priemer
2026-01-01,0.2,1.9,-1.5,-0.22
2026-01-02,1.9,3.5,-0.7,1.0
2026-01-03,-0.4,2.2,-0.2,0.35
2026-01-04,-2.7,1.4,-5.2,-2.93
2026-01-05,-8.2,-1.7,-2.7,-3.82
2026-01-06,-3.9,-1.5,-2.9,-2.8
2026-01-07,-4.6,-2.6,-5.0,-4.3
2026-01-08,-7.3,-2.2,-6.9,-5.83
2026-01-09,-8.0,-5.2,-4.6,-5.6
2026-01-10,-4.3,-2.0,-7.6,-5.38
2026-01-11,-4.2,-2.6,-4.8,-4.1
2026-01-12,-9.0,-1.2,-3.2,-4.15
2026-01-13,-4.0,-3.3,-2.5,-3.08
2026-01-14,-4.2,-3.1,-3.5,-3.58
2026-01-15,-2.3,-0.2,-0.3,-0.78
2026-01-16,-0.1,1.2,1.0,0.77
2026-01-17,1.0,2.8,-0.8,0.55
2026-01-18,-4.6,1.4,-3.9,-2.75
2026-01-19,-6.3,-3.2,-5.9,-5.33
2026-01-20,-9.0,-3.5,-6.6,-6.42
2026-01-21,-9.1,-2.2,-5.3,-5.47
2026-01-22,-6.4,-1.6,-2.0,-3.0
2026-01-23,-1.6,1.2,0.2,-0.0
2026-01-24,0.9,2.8,0.9,1.38
2026-01-25,1.8,3.2,4.4,3.45
2026-01-26,2.3,5.3,-0.1,1.85
2026-01-27,-1.6,1.6,0.7,0.35
2026-01-28,1.3,4.4,2.8,2.83
2026-01-29,2.8,3.6,1.1,2.15
2026-01-30,0.3,1.9,0.3,0.7
2026-01-31,0.8,2.0,0.9,1.15
2026-02-01,-0.6,0.2,-0.9,-0.55
2026-02-02,-0.2,1.1,0.2,0.33
2026-02-03,-1.7,-0.3,0.4,-0.3
2026-02-04,1.0,3.0,3.5,2.75
2026-02-05,4.1,8.8,5.3,5.88
2026-02-06,5.4,6.2,1.4,3.6
2026-02-07,2.8,7.4,1.6,3.35
2026-02-08,3.2,7.2,1.8,3.5
2026-02-09,2.8,5.4,3.1,3.6
2026-02-10,2.5,3.2,1.0,1.93
2026-02-11,1.2,4.3,3.7,3.23
2026-02-12,4.7,11.0,7.6,7.72
